バックオフィスシステム,,,,,,,テーブル設定書,,,,,,,サブシステム名,,,,,テーブルID,,,,,,,テーブル名,,,,,,,Ver.,,,記入年月日,,,,,更新者,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,次世代領域,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,情報系商品最新マスタ,,,,,,,情報系【情報系マスタ】,,,,,DWH_PD,,,,,,,情報系商品最新マスタ,,,,,,,2.0,,,2019/5/20,,,,,CTC 川井,,,,,,アプリ名,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://9w3ch4cil9qm.cybozu.com/k/242/show#record=1&l.view=20&l.q&l.next=0&l.prev=0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
№,項目名（物理名）,,,,,,,,,項目名称（論理名）,,,,,,,,,型,,,長さ,,小数,,PK,HK,内容,,,,,,,,,,,,,,,,,,4325,商品コード,商品名称,商品規格,年月日,商品区分,許容期間
53,PB_TYP,,,,,,,,,ＰＢ区分,,,,,,,,,CHAR,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
54,PROPER_PB_TYP,,,,,,,,,固有ＰＢ区分,,,,,,,,,CHAR,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
55,BUSUSE_FLG,,,,,,,,,業務用フラグ,,,,,,,,,CHAR,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
56,FRESH_MGT_STD_TRM_TYP,,,,,,,,,鮮度管理基準期間区分,,,,,,,,,CHAR,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
57,FRESH_MGT_STD_TRM,,,,,,,,,鮮度管理基準期間,,,,,,,,,INT2,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
58,PRD_YMD_EXPDATE_DSP_METHOD_TYP,,,,,,,,,製造年月日・賞味期限表示方法区分,,,,,,,,,CHAR,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
59,CASE_LENGTHWISE_SIZE,,,,,,,,,ケース縦寸法,,,,,,,,,INT2,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
60,CASE_SIDE_SIZE,,,,,,,,,ケース横寸法,,,,,,,,,INT2,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
61,CASE_HEIGHT_SIZE,,,,,,,,,ケース高さ寸法,,,,,,,,,INT2,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
62,BARA_LENGTHWISE_SIZE,,,,,,,,,バラ縦寸法,,,,,,,,,INT2,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
63,BARA_SIDE_SIZE,,,,,,,,,バラ横寸法,,,,,,,,,INT2,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
64,BARA_HEIGHT_SIZE,,,,,,,,,バラ高さ寸法,,,,,,,,,INT2,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
65,BOWL_LENGTHWISE_SIZE,,,,,,,,,ボール縦寸法,,,,,,,,,INT2,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
66,BOWL_SIDE_SIZE,,,,,,,,,ボール横寸法,,,,,,,,,INT2,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
67,BOWL_HEIGHT_SIZE,,,,,,,,,ボール高さ寸法,,,,,,,,,INT2,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
68,USE_PLT_SIZE_LENGTHWISE_SIZE,,,,,,,,,使用パレットサイズ縦寸法,,,,,,,,,INT2,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
69,USE_PALETTE_SIZE_SIDE_SIZE,,,,,,,,,使用パレットサイズ横寸法,,,,,,,,,INT2,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
70,USE_PALETTE_TYP,,,,,,,,,使用パレット区分,,,,,,,,,CHAR,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
71,DLVY_LOT,,,,,,,,,配送ロット,,,,,,,,,INT4,,,7,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
72,PRODUC_PREFECTURAL_CD,,,,,,,,,生産都道府県コード,,,,,,,,,CHAR,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
73,PLCOFORIG_CD,,,,,,,,,原産国コード,,,,,,,,,CHAR,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
